time,lat,lon,dep,mag,magtype,id
2018-06-05T10:56:18.30383,60.190226,24.835317,5.639,0.48,Ml,2018156105500IMS000000
2018-06-05T13:29:27.64954,60.189151,24.831712,5.110,0.25,Ml,2018156132827IMS000000
2018-06-06T01:02:41.06959,60.189128,24.830625,5.105,0.33,Ml,2018157010141IMS000000
2018-06-06T01:39:58.52593,60.193126,24.838021,6.071,0.64,Ml,2018157013858IMS000000
2018-06-06T12:17:23.50190,60.193571,24.838456,6.098,0.71,Ml,2018157121700IMS000000
2018-06-07T07:21:13.92473,60.189424,24.831629,5.149,0.62,Ml,2018158072013IMS000000
2018-06-07T20:42:12.21580,60.193287,24.838551,6.087,1.05,Ml,2018158204112IMS000000
2018-06-08T00:10:59.37336,60.193815,24.840476,6.201,0.44,Ml,2018159000959IMS000000
2018-06-08T01:13:30.98140,60.192812,24.838507,6.039,0.29,Ml,2018159011231IMS000000
2018-06-08T01:13:52.42541,60.192942,24.839035,6.020,0.34,Ml,2018159011252IMS000000
2018-06-08T03:53:57.23926,60.193678,24.839245,6.109,0.78,Ml,2018159035257IMS000000
2018-06-08T04:41:10.74721,60.193924,24.840094,6.175,0.79,Ml,2018159044000IMS000000
2018-06-08T12:01:46.69092,60.189423,24.830930,5.098,0.51,Ml,2018159120046IMS000000
2018-06-08T15:24:10.56122,60.193843,24.840565,6.172,0.58,Ml,2018159152310IMS000000
2018-06-09T05:16:18.24765,60.193779,24.840470,6.127,0.47,Ml,2018160051518IMS000000
2018-06-09T05:42:15.84976,60.189436,24.830690,5.100,1.04,Ml,2018160054115IMS000000
2018-06-09T10:26:10.08979,60.193627,24.839858,6.161,0.86,Ml,2018160102510IMS000000
2018-06-09T13:54:59.11525,60.189404,24.830512,5.093,0.70,Ml,2018160135358IMS000000
2018-06-09T18:20:43.49264,60.193140,24.838548,6.031,0.37,Ml,2018160181943IMS000000
2018-06-09T21:11:26.95963,60.192905,24.838484,5.958,0.29,Ml,2018160211026IMS000000
2018-06-10T00:45:48.92513,60.188802,24.832085,5.158,0.63,Ml,2018161004449IMS000000
2018-06-10T10:25:24.93332,60.193718,24.839669,6.145,0.61,Ml,2018161102425IMS000000
2018-06-10T17:26:44.95489,60.193911,24.840194,6.161,0.75,Ml,2018161172544IMS000000
2018-06-11T01:29:25.37926,60.193570,24.839573,6.118,0.25,Ml,2018162012825IMS000000
2018-06-11T05:26:48.74805,60.190494,24.833822,5.591,1.45,Ml,2018162052548IMS000000
2018-06-11T10:28:00.74805,60.194071,24.839946,6.134,0.58,Ml,2018162102701IMS000000
2018-06-11T10:36:17.13439,60.193610,24.838480,6.070,0.56,Ml,2018162103517IMS000000
2018-06-11T12:48:08.29199,60.193956,24.838359,6.088,0.68,Ml,2018162124708IMS000000
2018-06-11T13:42:39.83559,60.193926,24.840562,6.156,0.30,Ml,2018162134139IMS000000
2018-06-11T19:59:03.97475,60.189365,24.830359,5.074,0.86,Ml,2018162195803IMS000000
2018-06-11T22:48:49.20165,60.194049,24.837494,6.076,0.72,Ml,2018162224749IMS000000
2018-06-12T00:12:22.01045,60.189427,24.831130,5.147,0.88,Ml,2018163001121IMS000000
2018-06-12T03:14:20.06475,60.193859,24.837967,6.065,0.73,Ml,2018163031320IMS000000
2018-06-12T11:59:29.49087,60.193841,24.838927,6.076,0.30,Ml,2018163115829IMS000000
2018-06-12T13:22:24.82410,60.192727,24.839271,6.028,0.50,Ml,2018163132124IMS000000
2018-06-13T03:11:03.53840,60.193990,24.838646,6.082,1.11,Ml,2018164031000IMS000000
2018-06-14T00:21:42.94588,60.193858,24.837956,6.083,0.99,Ml,2018165002042IMS000000
2018-06-14T15:24:57.63393,60.193589,24.840542,6.180,0.71,Ml,2018165152357IMS000000
2018-06-14T20:06:00.26476,60.193021,24.838574,5.994,0.45,Ml,2018165200500IMS000000
2018-06-15T02:19:41.51642,60.193590,24.840726,6.174,0.19,Ml,2018166021841IMS000000
2018-06-15T11:17:47.72827,60.192572,24.839996,6.087,0.44,Ml,2018166111647IMS000000
2018-06-17T09:50:46.80463,60.193096,24.840681,6.153,0.97,Ml,2018168094946IMS000000
2018-06-17T11:25:27.87205,60.193677,24.840753,6.148,0.36,Ml,2018168112428IMS000000
2018-06-18T02:40:49.53085,60.193616,24.838689,6.048,0.56,Ml,2018169024000IMS000000
2018-06-18T03:34:56.25720,60.193658,24.840685,6.134,0.39,Ml,2018169033430IMS000000
2018-06-18T04:21:44.94883,60.192909,24.839636,6.046,0.62,Ml,2018169042045IMS000000
2018-06-18T17:07:35.88175,60.193622,24.842489,6.189,0.34,Ml,2018169170636IMS000000
2018-06-18T21:38:26.84156,60.194294,24.841204,6.154,0.40,Ml,2018169213726IMS000000
2018-06-18T23:07:58.15359,60.193062,24.838315,5.972,0.42,Ml,2018169230658IMS000000
2018-06-19T01:21:52.33848,60.193361,24.839429,6.151,0.80,Ml,2018170012100IMS000000
2018-06-19T01:35:41.47178,60.192980,24.839963,6.131,0.55,Ml,2018170013500IMS000000
2018-06-19T02:26:11.49654,60.193800,24.842723,6.243,0.42,Ml,2018170022530IMS000000
2018-06-19T07:05:42.52280,60.193480,24.842751,6.194,0.60,Ml,2018170070500IMS000000
2018-06-19T07:08:06.78332,60.193729,24.841892,6.175,0.47,Ml,2018170070706IMS000000
2018-06-19T14:15:43.54077,60.193266,24.841129,6.147,0.45,Ml,2018170141444IMS000000
2018-06-19T14:51:28.99313,60.194107,24.839503,6.084,0.77,Ml,2018170145100IMS000000
2018-06-19T19:16:46.34298,60.193823,24.842095,6.196,0.66,Ml,2018170191546IMS000000
2018-06-19T20:02:05.46743,60.194175,24.842784,6.225,0.70,Ml,2018170200105IMS000000
2018-06-19T21:02:41.50448,60.193938,24.842109,6.194,0.46,Ml,2018170210141IMS000000
2018-06-20T00:13:03.95618,60.193836,24.840307,6.174,1.32,Ml,2018171001230IMS000000
2018-06-20T00:38:30.12576,60.194362,24.842544,6.256,0.78,Ml,2018171003700IMS000000
2018-06-20T00:59:51.82749,60.194265,24.842378,6.247,0.80,Ml,2018171005900IMS000000
2018-06-20T03:47:54.33891,60.193928,24.843283,6.196,0.40,Ml,2018171034700IMS000000
2018-06-20T10:04:09.93846,60.193936,24.842124,6.185,0.71,Ml,2018171100309IMS000000
2018-06-20T10:05:43.18356,60.193801,24.842099,6.237,0.79,Ml,2018171100500IMS000000
2018-06-20T10:11:20.45138,60.193790,24.843008,6.212,0.57,Ml,2018171101020IMS000000
2018-06-20T11:33:45.67862,60.194233,24.842685,6.217,0.58,Ml,2018171113245IMS000000
2018-06-20T12:01:33.03725,60.191248,24.835594,5.653,0.41,Ml,2018171120032IMS000000
2018-06-20T15:45:51.37072,60.193751,24.842699,6.183,0.44,Ml,2018171154451IMS000000
2018-06-20T17:08:04.92093,60.190611,24.833802,5.625,0.84,Ml,2018171170704IMS000000
2018-06-20T17:39:14.97127,60.194210,24.842424,6.269,1.13,Ml,2018171173814IMS000000
2018-06-20T23:27:15.13828,60.193094,24.840090,6.122,1.65,Ml,2018171232614IMS000000
2018-06-20T23:40:29.39054,60.194141,24.842967,6.212,0.42,Ml,2018171233929IMS000000
2018-06-21T00:11:59.63585,60.195565,24.837560,6.013,0.80,Ml,2018172001100IMS000000
2018-06-21T01:07:36.58616,60.188986,24.831975,5.220,0.47,Ml,2018172010600IMS000000
2018-06-21T04:17:49.78361,60.193374,24.844094,6.227,0.05,Ml,2018172041700IMS000000
2018-06-21T07:03:00.68457,60.193789,24.842830,6.177,0.56,Ml,2018172070230IMS000000
2018-06-21T09:01:22.40080,60.193722,24.840302,6.177,0.80,Ml,2018172090030IMS000000
2018-06-21T17:56:18.57968,60.195226,24.838363,6.099,1.21,Ml,2018172175518IMS000000
2018-06-21T18:08:35.96002,60.189337,24.831347,5.104,0.85,Ml,2018172180735IMS000000
2018-06-21T18:34:26.97510,60.189283,24.830749,5.089,0.77,Ml,2018172183326IMS000000
2018-06-21T23:08:08.24130,60.190934,24.833071,5.601,0.67,Ml,2018172230708IMS000000
2018-06-21T23:09:03.72243,60.188377,24.833337,5.219,0.50,Ml,2018172230757IMS000000
2018-06-21T23:50:09.25892,60.194036,24.842152,6.199,0.41,Ml,2018172234909IMS000000
2018-06-22T04:29:58.64106,60.193899,24.842180,6.228,1.04,Ml,2018173042858IMS000000
2018-06-22T04:36:08.19763,60.194072,24.842806,6.239,0.87,Ml,2018173043508IMS000000
2018-06-22T07:23:37.55550,60.189515,24.828970,4.899,0.70,Ml,2018173072237IMS000000
2018-06-22T13:02:30.30199,60.194201,24.842537,6.208,0.95,Ml,2018173130130IMS000000
2018-06-22T14:24:04.15021,60.192972,24.838851,6.003,0.51,Ml,2018173142304IMS000000
2018-06-22T15:17:55.62898,60.193246,24.839727,6.141,0.99,Ml,2018173151655IMS000000
2018-06-22T18:13:36.85485,60.194113,24.842311,6.231,1.12,Ml,2018173181236IMS000000
2018-06-22T18:14:12.76593,60.193512,24.842307,6.199,0.86,Ml,2018173181313IMS000000
2018-06-22T19:13:59.98192,60.193738,24.842997,6.155,0.01,Ml,2018173191258IMS000000
2018-06-22T21:50:53.26961,60.192992,24.841839,6.149,0.60,Ml,2018173214953IMS000000
2018-06-22T22:01:04.02678,60.194097,24.842947,6.256,0.84,Ml,2018173220003IMS000000
2018-06-23T04:05:13.74279,60.194919,24.838601,6.120,0.71,Ml,2018174040400IMS000000
2018-06-23T04:34:03.71134,60.194231,24.841808,6.208,0.93,Ml,2018174043300IMS000000
2018-06-23T06:21:02.81607,60.195050,24.838280,6.129,0.99,Ml,2018174062000IMS000000
2018-06-23T06:42:02.49520,60.193450,24.842666,6.185,0.74,Ml,2018174064100IMS000000
2018-06-23T09:00:01.88795,60.193004,24.840901,6.186,1.09,Ml,2018174085934IMS000000
2018-06-23T13:20:34.48534,60.193269,24.841312,6.169,0.56,Ml,2018174131934IMS000000
2018-06-23T15:42:12.29903,60.192668,24.840606,6.077,0.53,Ml,2018174154112IMS000000
2018-06-24T06:25:23.03533,60.194221,24.842361,6.267,1.08,Ml,2018175062422IMS000000
2018-06-24T07:18:13.77770,60.194536,24.840224,6.145,0.45,Ml,2018175071713IMS000000
2018-06-24T13:28:58.99588,60.194361,24.843471,6.211,0.44,Ml,2018175132759IMS000000
2018-06-25T00:19:13.22560,60.192537,24.840723,6.091,0.82,Ml,2018176001813IMS000000
2018-06-25T15:59:52.78642,60.190497,24.839057,5.725,0.45,Ml,2018176155852IMS000000
2018-06-25T17:06:54.35760,60.192808,24.841611,6.203,0.77,Ml,2018176170554IMS000000
2018-06-25T21:06:20.88497,60.193811,24.841943,6.207,0.51,Ml,2018176210520IMS000000
2018-06-26T10:48:30.69547,60.193932,24.842373,6.193,0.67,Ml,2018177104730IMS000000
2018-06-27T15:27:09.52074,60.193365,24.842315,6.199,0.49,Ml,2018178152609IMS000000
2018-06-27T22:30:43.16161,60.193991,24.842729,6.228,0.93,Ml,2018178222942IMS000000
2018-06-28T05:33:45.61770,60.193164,24.841820,6.172,0.84,Ml,2018179053245IMS000000
2018-06-28T23:31:42.49421,60.194010,24.840534,6.175,1.18,Ml,2018179233042IMS000000
2018-06-29T01:32:50.99855,60.193479,24.842629,6.191,0.88,Ml,2018180013150IMS000000
2018-06-29T04:02:45.12561,60.193962,24.842636,6.227,1.68,Ml,2018180040100IMS000000
2018-06-29T09:42:38.80318,60.193717,24.842175,6.224,1.47,Ml,2018180094138IMS000000
2018-06-30T04:10:40.14678,60.192844,24.840330,6.089,0.64,Ml,2018181040940IMS000000
2018-06-30T06:53:07.76478,60.194194,24.839454,6.099,1.41,Ml,2018181065239IMS000000
2018-06-30T19:24:00.43478,60.193069,24.838840,6.067,0.77,Ml,2018181192300IMS000000
2018-07-01T12:44:40.57971,60.193349,24.842219,6.191,0.80,Ml,2018182124340IMS000000
2018-07-01T20:33:48.53450,60.193976,24.840221,6.188,0.97,Ml,2018182203248IMS000000
2018-07-01T21:23:50.86611,60.194090,24.840767,6.177,1.06,Ml,2018182212250IMS000000
2018-07-01T23:34:01.80456,60.193819,24.842457,6.310,0.79,Ml,2018182233301IMS000000
2018-07-02T16:00:52.41190,60.193026,24.840914,6.190,0.88,Ml,2018183155952IMS000000
2018-07-02T20:26:30.68346,60.192973,24.839914,6.079,0.68,Ml,2018183202531IMS000000
2018-07-02T21:51:29.43152,60.193996,24.842679,6.228,1.02,Ml,2018183215029IMS000000
2018-07-03T00:31:03.75839,60.194356,24.842686,6.218,0.56,Ml,2018184003003IMS000000
2018-07-03T20:11:46.42941,60.193838,24.842119,6.222,1.05,Ml,2018184201046IMS000000
2018-07-03T20:30:06.93389,60.193881,24.842182,6.215,1.19,Ml,2018184202906IMS000000
2018-07-04T00:14:26.33773,60.192877,24.841671,6.177,0.87,Ml,2018185001326IMS000000
2018-07-04T01:47:23.30534,60.193766,24.840295,6.193,1.07,Ml,2018185014623IMS000000
2018-07-04T03:46:51.02555,60.192374,24.840971,6.111,1.08,Ml,2018185034551IMS000000
2018-07-04T12:10:50.52270,60.193372,24.843270,6.216,0.74,Ml,2018185120950IMS000000
2018-07-04T14:55:49.91027,60.193624,24.843105,6.204,0.69,Ml,2018185145450IMS000000
2018-07-04T15:55:23.80693,60.193466,24.842931,6.197,0.68,Ml,2018185155423IMS000000
2018-07-05T07:01:55.56508,60.194060,24.840970,6.181,1.39,Ml,2018186070100IMS000000
2018-07-05T09:22:09.62401,60.193337,24.843608,6.205,0.42,Ml,2018186092109IMS000000
2018-07-05T11:54:57.19246,60.194006,24.841991,6.203,0.78,Ml,2018186115357IMS000000
2018-07-05T13:16:22.36110,60.193018,24.840137,6.050,0.86,Ml,2018186131522IMS000000
2018-07-05T20:27:46.00997,60.193551,24.840014,6.154,0.53,Ml,2018186202646IMS000000
2018-07-05T21:51:07.21651,60.193298,24.841406,6.199,0.65,Ml,2018186215007IMS000000
2018-07-06T03:49:08.68188,60.188132,24.831266,5.140,0.61,Ml,2018187034808IMS000000
2018-07-06T06:27:57.60507,60.192761,24.840974,6.074,0.56,Ml,2018187062657IMS000000
2018-07-06T08:49:36.33680,60.194003,24.842477,6.222,1.29,Ml,2018187084836IMS000000
2018-07-07T14:21:51.60663,60.192814,24.840242,6.088,0.77,Ml,2018188142051IMS000000
2018-07-07T16:14:24.26601,60.194272,24.845019,6.283,0.61,Ml,2018188161324IMS000000
2018-07-07T17:32:24.85748,60.191432,24.831645,5.608,1.38,Ml,2018188173124IMS000000
2018-07-07T17:55:28.34985,60.192745,24.840607,6.097,1.01,Ml,2018188175428IMS000000
2018-07-07T19:32:22.64315,60.193185,24.841364,6.185,0.74,Ml,2018188193122IMS000000
2018-07-07T20:30:05.54114,60.192907,24.841348,6.180,0.69,Ml,2018188202905IMS000000
2018-07-07T21:45:38.40645,60.194284,24.842781,6.276,0.85,Ml,2018188214438IMS000000
2018-07-07T21:47:42.40221,60.188923,24.831053,5.019,0.67,Ml,2018188214700IMS000000
2018-07-07T21:49:01.89859,60.194285,24.839758,6.130,0.61,Ml,2018188214802IMS000000
2018-07-08T06:08:19.94957,60.193086,24.842544,6.247,0.67,Ml,2018189060720IMS000000
2018-07-08T07:09:44.96804,60.193332,24.841108,6.188,0.64,Ml,2018189070845IMS000000
2018-07-08T09:52:18.08618,60.193479,24.841791,6.184,0.41,Ml,2018189095118IMS000000
2018-07-08T13:28:28.54585,60.193739,24.842407,6.225,0.81,Ml,2018189132728IMS000000
2018-07-08T13:28:28.54555,60.193702,24.842401,6.231,0.49,Ml,2018189132738IMS000000
2018-07-08T14:21:28.63808,60.190807,24.833183,5.646,0.84,Ml,2018189142028IMS000000
2018-07-08T15:24:17.85177,60.194162,24.838331,5.993,0.63,Ml,2018189152317IMS000000
2018-07-08T16:09:54.94539,60.189503,24.831010,5.150,0.83,Ml,2018189160854IMS000000
2018-07-08T16:33:51.51655,60.192431,24.840804,6.117,0.64,Ml,2018189163251IMS000000
2018-07-08T17:36:37.00401,60.192800,24.841536,6.186,1.71,Ml,2018189173537IMS000000
2018-07-08T19:51:43.57457,60.194204,24.842022,6.222,0.47,Ml,2018189195043IMS000000
2018-07-09T00:53:53.25313,60.193432,24.841808,6.199,0.57,Ml,2018190005253IMS000000
2018-07-09T02:09:11.31645,60.193886,24.842030,6.234,1.06,Ml,2018190020811IMS000000
2018-07-09T02:58:47.78488,60.193397,24.843026,6.207,0.28,Ml,2018190025747IMS000000
2018-07-09T15:51:46.32851,60.193042,24.842507,6.263,0.79,Ml,2018190155046IMS000000
2018-07-12T14:25:19.40092,60.193015,24.839726,6.120,1.31,Ml,2018193142500IMS000000
2018-07-12T20:36:26.89855,60.193317,24.842822,6.186,0.77,Ml,2018193203526IMS000000
2018-07-12T20:46:29.86092,60.193801,24.838833,6.031,0.53,Ml,2018193204529IMS000000
2018-07-13T08:51:18.35128,60.194322,24.844656,6.269,0.64,Ml,2018194085018IMS000000
2018-07-13T13:35:11.60496,60.193950,24.841124,6.173,1.31,Ml,2018194133411IMS000000
2018-07-13T21:37:27.08659,60.194398,24.842928,6.230,0.47,Ml,2018194213627IMS000000
2018-07-14T01:15:32.27093,60.192884,24.840931,6.181,0.83,Ml,2018195011432IMS000000
2018-07-14T07:46:01.66064,60.192843,24.842725,6.236,0.56,Ml,2018195074501IMS000000
2018-07-14T12:37:40.91420,60.192741,24.840782,6.129,0.88,Ml,2018195123640IMS000000
2018-07-14T17:24:31.76527,60.193051,24.842520,6.241,0.54,Ml,2018195172331IMS000000
