Easting     Northing   Depth
25490380.71 6675152.63 2530.59
25490380.62 6675153.58 2555.57
25490380.58 6675154.39 2580.56
25490380.55 6675155.20 2605.54
25490380.50 6675155.93 2630.53
25490380.47 6675156.41 2655.53
25490380.47 6675156.77 2680.52
25490380.58 6675156.94 2705.52
25490380.67 6675157.11 2730.52
25490380.75 6675157.25 2755.52
25490380.81 6675157.38 2780.52
25490380.85 6675157.50 2805.52
25490380.87 6675157.60 2830.52
25490380.88 6675157.68 2855.52
25490380.87 6675157.75 2880.52
25490380.85 6675157.80 2905.52
25490380.80 6675157.84 2930.52
25490380.74 6675157.86 2955.52
25490380.66 6675157.87 2980.52
25490380.57 6675157.86 3005.52
25490380.45 6675157.84 3030.52
25490380.32 6675157.80 3055.52
25490380.18 6675157.75 3080.52
25490380.01 6675157.68 3105.52
25490379.83 6675157.59 3130.52
25490379.63 6675157.49 3155.52
25490379.42 6675157.38 3180.52
25490379.18 6675157.24 3205.51
25490378.93 6675157.10 3230.51
25490378.66 6675156.94 3255.51
25490378.38 6675156.76 3280.51
25490378.08 6675156.57 3305.51
25490377.87 6675156.38 3330.50
25490377.60 6675156.18 3355.50
25490377.19 6675155.89 3380.50
25490376.89 6675155.64 3405.49
25490376.56 6675155.34 3430.49
25490376.18 6675155.05 3455.48
25490375.82 6675154.79 3480.48
25490375.47 6675154.58 3505.48
25490375.07 6675154.34 3530.47
25490374.58 6675154.06 3555.47
25490373.97 6675153.74 3580.46
25490373.44 6675153.41 3605.45
25490372.84 6675153.13 3630.44
25490372.13 6675152.81 3655.43
25490371.25 6675152.50 3680.41
25490370.25 6675152.39 3705.39
25490369.19 6675152.54 3730.37
25490368.12 6675152.93 3755.34
25490367.16 6675153.20 3780.32
25490366.38 6675153.56 3805.31
25490365.71 6675154.13 3830.29
25490365.39 6675154.89 3855.28
25490365.34 6675155.65 3880.27
25490365.45 6675156.45 3905.25
25490365.81 6675157.20 3930.24
25490366.18 6675158.07 3955.22
25490366.56 6675158.93 3980.20
25490366.98 6675159.78 4005.18
25490367.65 6675160.61 4030.16
25490368.43 6675161.56 4055.13
25490369.23 6675162.63 4080.10
25490369.92 6675163.83 4105.06
25490370.63 6675165.14 4130.01
25490371.20 6675166.53 4154.97
25490371.77 6675167.88 4179.92
25490372.34 6675169.34 4204.88
25490372.93 6675170.81 4229.83
25490373.64 6675172.21 4254.78
25490374.48 6675173.52 4279.73
25490375.35 6675174.90 4304.67
25490376.06 6675176.53 4329.61
25490376.20 6675179.02 4354.48
25490375.83 6675182.08 4379.29
25490374.89 6675185.75 4404.00
25490373.56 6675190.22 4428.56
25490372.32 6675195.39 4452.99
25490371.01 6675201.19 4477.27
25490369.48 6675207.58 4501.39
25490367.52 6675215.10 4525.15
25490365.61 6675223.96 4548.44
25490363.80 6675233.78 4571.36
25490361.90 6675244.70 4593.77
25490359.79 6675256.68 4615.60
25490357.69 6675269.59 4636.91
25490355.24 6675283.53 4657.51
25490353.05 6675298.14 4677.68
25490350.55 6675312.77 4697.79
25490348.32 6675327.62 4717.78
25490346.48 6675342.46 4737.82
25490344.72 6675357.30 4757.86
25490343.17 6675371.71 4778.23
25490341.50 6675385.82 4798.80
25490340.01 6675399.57 4819.63
25490338.95 6675412.98 4840.70
25490338.38 6675426.20 4861.91
25490337.48 6675439.26 4883.20
25490336.71 6675452.10 4904.64
25490337.03 6675464.95 4926.08
25490339.50 6675478.06 4947.21
25490343.52 6675490.96 4968.24
25490347.08 6675504.32 4989.07
25490350.92 6675517.95 5009.67
25490355.85 6675531.40 5030.15
25490361.57 6675544.85 5050.43
25490368.33 6675558.32 5070.38
25490375.41 6675571.33 5090.52
25490383.07 6675583.87 5110.74
25490391.31 6675596.16 5130.89
25490399.91 6675608.50 5150.86
25490409.04 6675621.41 5170.22
25490418.47 6675634.69 5189.19
25490428.03 6675648.00 5208.07
25490438.22 6675661.28 5226.63
25490448.93 6675674.72 5244.79
25490460.46 6675688.15 5262.44
25490472.90 6675701.63 5279.42
25490486.16 6675714.93 5295.92
25490499.59 6675728.01 5312.46
25490513.03 6675740.90 5329.14
25490526.68 6675753.00 5346.23
25490540.59 6675764.27 5363.68
25490554.21 6675775.90 5381.12
25490568.06 6675788.17 5397.93
25490582.75 6675799.96 5414.37
25490598.32 6675810.11 5431.07
25490613.92 6675819.25 5448.33
25490629.32 6675828.98 5465.45
25490645.18 6675838.95 5482.01
25490661.44 6675848.37 5498.50
25490677.93 6675856.96 5515.21
25490694.24 6675866.37 5531.63
25490709.91 6675877.58 5547.57
25490725.64 6675888.98 5563.29
25490741.05 6675900.10 5579.53
25490756.26 6675910.54 5596.39
25490772.51 6675920.29 5612.70
25490787.85 6675930.89 5629.34
25490803.35 6675940.88 5646.21
25490818.56 6675951.37 5663.05
25490833.90 6675963.02 5678.99
25490848.05 6675976.15 5694.86
25490862.75 6675989.11 5710.38
25490877.09 6676003.25 5725.17
25490890.66 6676018.70 5739.39
25490904.20 6676034.51 5753.24
25490910.83 6676042.60 5760.07
