Easting     Northing   Depth
25490439.00 6675077.00    0.00
25490439.00 6675077.00   12.30
25490439.00 6675077.04   37.30
25490439.00 6675077.10   62.30
25490439.00 6675077.21   87.30
25490439.00 6675077.38  112.30
25490439.00 6675077.62  137.30
25490439.00 6675077.92  162.30
25490439.00 6675078.28  187.29
25490438.99 6675078.68  212.29
25490438.79 6675078.82  237.29
25490438.32 6675078.58  262.28
25490438.19 6675078.81  287.28
25490437.92 6675078.67  312.28
25490437.63 6675078.53  337.27
25490437.34 6675078.52  362.27
25490437.08 6675078.43  387.27
25490436.78 6675078.37  412.27
25490436.46 6675078.44  437.27
25490436.18 6675078.45  462.27
25490435.80 6675078.58  487.26
25490435.57 6675078.77  512.26
25490435.35 6675078.76  537.26
25490434.91 6675078.71  562.25
25490434.25 6675078.60  587.25
25490433.53 6675078.60  612.23
25490432.96 6675078.63  637.23
25490432.28 6675078.61  662.22
25490431.76 6675078.75  687.21
25490431.49 6675078.87  712.21
25490431.22 6675078.93  737.21
25490430.72 6675079.01  762.20
25490430.26 6675079.31  787.20
25490429.92 6675079.76  812.19
25490429.61 6675080.09  837.19
25490429.41 6675080.61  862.18
25490429.05 6675081.20  887.17
25490428.75 6675081.84  912.16
25490428.55 6675082.45  937.15
25490428.40 6675082.84  962.15
25490428.26 6675083.01  987.15
25490428.08 6675083.07 1012.15
25490427.89 6675083.16 1037.15
25490427.65 6675083.24 1062.14
25490427.45 6675083.36 1087.14
25490427.12 6675083.46 1112.14
25490426.76 6675083.53 1137.14
25490426.44 6675083.40 1162.14
25490426.22 6675082.97 1187.13
25490425.85 6675082.63 1212.13
25490425.54 6675082.50 1237.12
25490425.26 6675082.58 1262.12
25490424.86 6675082.98 1287.11
25490424.38 6675083.77 1312.10
25490424.16 6675084.20 1337.09
25490423.93 6675084.58 1362.09
25490423.82 6675084.87 1387.08
25490423.68 6675084.96 1412.08
25490423.48 6675085.10 1437.08
25490423.27 6675085.28 1462.08
25490423.10 6675085.39 1487.08
25490422.99 6675085.61 1512.08
25490422.78 6675085.78 1537.08
25490422.69 6675085.96 1562.08
25490422.57 6675086.08 1587.08
25490422.47 6675086.19 1612.07
25490422.24 6675086.14 1637.07
25490422.11 6675086.13 1662.07
25490422.05 6675086.09 1687.07
25490421.93 6675086.11 1712.07
25490421.83 6675086.11 1737.07
25490421.77 6675086.13 1762.07
25490421.71 6675086.20 1787.07
25490421.56 6675086.11 1812.07
25490421.32 6675086.11 1837.07
25490421.15 6675086.37 1862.07
25490420.69 6675086.52 1887.06
25490420.13 6675087.12 1912.05
25490419.47 6675087.99 1937.02
25490418.70 6675089.07 1961.99
25490417.71 6675090.50 1986.93
25490416.38 6675092.49 2011.81
25490414.72 6675094.94 2036.64
25490412.68 6675097.88 2061.38
25490410.18 6675101.32 2086.01
25490407.20 6675105.24 2110.52
25490403.70 6675109.76 2134.86
25490399.67 6675114.88 2158.99
25490395.70 6675120.19 2183.10
25490392.25 6675125.22 2207.34
25490389.61 6675129.68 2231.79
25490387.75 6675133.25 2256.46
25490386.25 6675136.13 2281.25
25490385.12 6675138.50 2306.11
25490384.11 6675140.54 2331.01
25490383.19 6675142.58 2355.91
25490382.47 6675144.50 2380.82
25490381.82 6675146.06 2405.77
25490381.51 6675147.40 2430.73
25490381.19 6675148.66 2455.70
25490380.93 6675150.14 2480.65
25490380.83 6675151.50 2505.61
