time,lat,lon,dep,mag,magtype,id
2020-05-18T03:18:17.41973,60.195383,24.834590,5.639,-0.64,Ml,2020139031717ISUHX00000
2020-05-18T03:44:04.81593,60.191364,24.824644,4.771,-0.91,Ml,2020139034304ISUHX00000
2020-05-18T04:59:44.55023,60.192420,24.824009,4.667,-0.42,Ml,2020139045845ISUHX00000
2020-05-18T19:12:43.37260,60.191565,24.824779,4.902,-0.35,Ml,2020139191143ISUHX00000
2020-05-19T07:13:34.03819,60.195529,24.833064,5.447,-0.41,Ml,2020140071233ISUHX00000
2020-05-19T19:49:28.95176,60.194126,24.830652,5.418,-0.14,Ml,2020140194829ISUHX00000
2020-05-19T20:11:11.32863,60.195491,24.834517,5.687,-0.57,Ml,2020140201011ISUHX00000
2020-05-19T20:43:16.98808,60.191021,24.824165,4.729,-0.35,Ml,2020140204217ISUHX00000
2020-05-19T20:59:40.41184,60.195296,24.833956,5.547,-0.81,Ml,2020140205840ISUHX00000
2020-05-19T21:09:16.82149,60.191590,24.828271,4.941,-0.77,Ml,2020140210817ISUHX00000
2020-05-20T20:15:05.23750,60.194381,24.830626,5.336,-0.70,Ml,2020141201400ISUHX00000
2020-05-20T21:04:00.17430,60.196326,24.832538,5.515,0.21,Ml,2020141210300ISUHX00000
2020-05-20T22:20:46.18997,60.196694,24.834913,5.592,0.26,Ml,2020141221946ISUHX00000
2020-05-22T00:15:30.83935,60.196394,24.835775,5.443,0.38,Ml,2020143001430ISUHX00000
2020-05-22T16:50:51.64887,60.197150,24.834996,5.455,0.91,Ml,2020143164951ISUHX00000
2020-05-23T07:11:09.00538,60.190894,24.825839,4.616,-0.09,Ml,2020144071009ISUHX00000
2020-05-23T12:30:59.07228,60.190537,24.826442,4.685,-0.65,Ml,2020144122959ISUHX00000
2020-05-30T01:03:24.56662,60.196192,24.836643,5.634,-0.83,Ml,2020151010224ISUHX00000
2020-05-30T19:22:56.78238,60.197316,24.835588,5.496,0.15,Ml,2020151192156ISUHX00000
2020-05-31T17:17:25.77644,60.196786,24.835542,5.470,1.02,Ml,2020152171625ISUHX00000
2020-06-27T04:51:59.39915,60.196148,24.836390,5.427,1.04,Ml,2020179045059ISUHX00000
2020-07-26T13:12:29.08139,60.197015,24.830061,5.359,-0.66,Ml,2020208131128ISUHX00000
2020-09-17T21:18:03.39554,60.196176,24.835501,5.643,-0.94,Ml,2020261211703ISUHX00000
2020-12-01T16:50:43.82331,60.196442,24.835709,5.404,0.51,Ml,2020336164944ISUHX00000
2020-12-08T12:17:21.15456,60.196431,24.835696,5.407,0.46,Ml,2020343121621ISUHX00000
