time,lat,lon,dep,mag,magtype,id
2018-06-04T22:59:21.60653,60.194169,24.840216,6.091,-0.15,Ml,2018155225900IMS000000
2018-06-05T00:37:27.05879,60.190348,24.835139,5.642,0.04,Ml,2018156003700IMS000000
2018-06-05T02:58:49.22616,60.193333,24.837583,5.821,-0.36,Ml,2018156025800IMS000000
2018-06-05T03:50:48.25871,60.193064,24.838333,5.936,-0.09,Ml,2018156035000IMS000000
2018-06-05T03:53:15.03651,60.191094,24.832433,5.597,-0.31,Ml,2018156035200IMS000000
2018-06-05T07:44:36.75825,60.193102,24.836715,5.978,0.19,Ml,2018156074337IMS000000
2018-06-05T07:53:21.88854,60.193538,24.839458,6.100,0.14,Ml,2018156075200IMS000000
2018-06-05T08:14:42.99909,60.192864,24.837897,5.989,0.18,Ml,2018156081413IMS000000
2018-06-05T08:24:18.90303,60.190366,24.835062,5.607,0.21,Ml,2018156082330IMS000000
2018-06-05T08:34:46.92530,60.192974,24.837975,5.924,0.09,Ml,2018156083347IMS000000
2018-06-05T09:57:47.29310,60.193357,24.836293,5.960,0.06,Ml,2018156095700IMS000000
2018-06-05T10:56:18.30383,60.190226,24.835317,5.639,0.57,Ml,2018156105500IMS000000
2018-06-05T11:14:33.57998,60.192802,24.837479,5.932,0.12,Ml,2018156111400IMS000000
2018-06-05T11:43:36.61096,60.193023,24.837678,5.926,-0.01,Ml,2018156114237IMS000000
2018-06-05T13:06:10.70513,60.192986,24.837796,5.961,0.18,Ml,2018156130511IMS000000
2018-06-05T13:26:56.52314,60.189573,24.831203,5.124,-0.00,Ml,2018156132600IMS000000
2018-06-05T13:29:27.64954,60.189151,24.831712,5.110,0.36,Ml,2018156132827IMS000000
2018-06-05T13:31:26.60939,60.190067,24.834932,5.589,0.45,Ml,2018156133026IMS000000
2018-06-05T13:32:14.76673,60.192927,24.836836,5.947,0.01,Ml,2018156133130IMS000000
2018-06-05T14:51:18.13018,60.189345,24.830909,5.087,-0.15,Ml,2018156145019IMS000000
2018-06-05T18:10:01.99073,60.192910,24.836720,5.920,-0.12,Ml,2018156180902IMS000000
2018-06-05T18:13:22.57803,60.190322,24.834866,5.575,-0.09,Ml,2018156181221IMS000000
2018-06-05T18:31:38.83344,60.192794,24.836803,5.940,-0.25,Ml,2018156183039IMS000000
2018-06-05T18:41:08.39298,60.189228,24.831227,5.113,0.05,Ml,2018156184008IMS000000
2018-06-05T18:41:21.20085,60.189429,24.830956,5.137,-0.06,Ml,2018156184100IMS000000
2018-06-05T18:46:40.78756,60.190158,24.834928,5.651,0.42,Ml,2018156184540IMS000000
2018-06-05T18:48:54.42082,60.192750,24.838263,5.979,-0.05,Ml,2018156184754IMS000000
2018-06-05T19:13:05.54890,60.193074,24.836795,5.925,-0.26,Ml,2018156191230IMS000000
2018-06-05T20:10:47.18074,60.193003,24.836676,5.983,0.06,Ml,2018156201000IMS000000
2018-06-05T20:10:56.45757,60.193179,24.836656,5.955,-0.04,Ml,2018156201030IMS000000
